Animation,Full name,Tags
BodyTalk_1,animations/Sit/BodyTalk/BodyTalk_1,body language
BodyTalk_10,animations/Sit/BodyTalk/BodyTalk_10,body language
BodyTalk_11,animations/Sit/BodyTalk/BodyTalk_11,body language
BodyTalk_12,animations/Sit/BodyTalk/BodyTalk_12,body language
BodyTalk_2,animations/Sit/BodyTalk/BodyTalk_2,body language
BodyTalk_3,animations/Sit/BodyTalk/BodyTalk_3,body language
BodyTalk_4,animations/Sit/BodyTalk/BodyTalk_4,body language
BodyTalk_5,animations/Sit/BodyTalk/BodyTalk_5,body language
BodyTalk_6,animations/Sit/BodyTalk/BodyTalk_6,body language
BodyTalk_7,animations/Sit/BodyTalk/BodyTalk_7,body language
BodyTalk_8,animations/Sit/BodyTalk/BodyTalk_8,body language
BodyTalk_9,animations/Sit/BodyTalk/BodyTalk_9,body language
BodyTalk_1,animations/Stand/BodyTalk/BodyTalk_1,body language
BodyTalk_10,animations/Stand/BodyTalk/BodyTalk_10,body language
BodyTalk_11,animations/Stand/BodyTalk/BodyTalk_11,body language
BodyTalk_12,animations/Stand/BodyTalk/BodyTalk_12,body language
BodyTalk_13,animations/Stand/BodyTalk/BodyTalk_13,body language
BodyTalk_14,animations/Stand/BodyTalk/BodyTalk_14,body language
BodyTalk_15,animations/Stand/BodyTalk/BodyTalk_15,body language
BodyTalk_16,animations/Stand/BodyTalk/BodyTalk_16,body language
BodyTalk_17,animations/Stand/BodyTalk/BodyTalk_17,body language
BodyTalk_18,animations/Stand/BodyTalk/BodyTalk_18,body language
BodyTalk_19,animations/Stand/BodyTalk/BodyTalk_19,body language
BodyTalk_2,animations/Stand/BodyTalk/BodyTalk_2,body language
BodyTalk_20,animations/Stand/BodyTalk/BodyTalk_20,body language
BodyTalk_21,animations/Stand/BodyTalk/BodyTalk_21,body language
BodyTalk_22,animations/Stand/BodyTalk/BodyTalk_22,body language
BodyTalk_3,animations/Stand/BodyTalk/BodyTalk_3,body language
BodyTalk_4,animations/Stand/BodyTalk/BodyTalk_4,body language
BodyTalk_5,animations/Stand/BodyTalk/BodyTalk_5,body language
BodyTalk_6,animations/Stand/BodyTalk/BodyTalk_6,body language
BodyTalk_7,animations/Stand/BodyTalk/BodyTalk_7,body language
BodyTalk_8,animations/Stand/BodyTalk/BodyTalk_8,body language
BodyTalk_9,animations/Stand/BodyTalk/BodyTalk_9,body language
BowShort_1,animations/Stand/Gestures/BowShort_1,bow
Enthusiastic_4,animations/Stand/Gestures/Enthusiastic_4,enthusiastic; happy; rapturous; raring; rousing; warm; zestful
Enthusiastic_5,animations/Stand/Gestures/Enthusiastic_5,enthusiastic; happy; rapturous; raring; rousing; warm; zestful
Explain_1,animations/Stand/Gestures/Explain_1,body language; clear; explain; present
Explain_10,animations/Stand/Gestures/Explain_10,body language; clear; explain; present
Explain_11,animations/Stand/Gestures/Explain_11,body language; clear; explain; present
Explain_2,animations/Stand/Gestures/Explain_2,body language; clear; explain; present
Explain_3,animations/Stand/Gestures/Explain_3,body language; clear; explain; present
Explain_4,animations/Stand/Gestures/Explain_4,body language; clear; explain; present
Explain_5,animations/Stand/Gestures/Explain_5,body language; clear; explain; present
Explain_6,animations/Stand/Gestures/Explain_6,body language; clear; explain; present
Explain_7,animations/Stand/Gestures/Explain_7,body language; clear; explain; present
Explain_8,animations/Stand/Gestures/Explain_8,body language; clear; explain; present
Hey_1,animations/Stand/Gestures/Hey_1,call; hello; hey; hi; yoo-hoo
Hey_6,animations/Stand/Gestures/Hey_6,call; hello; hey; hi
IDontKnow_1,animations/Stand/Gestures/IDontKnow_1,not know; unacquainted; undetermined; undiscovered; unfamiliar; unknown
IDontKnow_2,animations/Stand/Gestures/IDontKnow_2,not know; unacquainted; undetermined; undiscovered; unfamiliar; unknown
Me_1,animations/Stand/Gestures/Me_1,I; me; my; myself
Me_2,animations/Stand/Gestures/Me_2,I; me; my; myself
No_3,animations/Stand/Gestures/No_3,negative; no; oppose; refute; reject
No_8,animations/Stand/Gestures/No_8,negative; no; oppose; refute; reject
No_9,animations/Stand/Gestures/No_9,negative; no; oppose; refute; reject
Please_1,animations/Stand/Gestures/Please_1,beg; beseech; entreat; implore; please; supplicate
Yes_1,animations/Stand/Gestures/Yes_1,affirmative; alright; ok; yeah; yes
Yes_2,animations/Stand/Gestures/Yes_2,affirmative; alright; ok; yeah; yes
Yes_3,animations/Stand/Gestures/Yes_3,affirmative; alright; ok; yeah; yes
YouKnowWhat_1,animations/Stand/Gestures/YouKnowWhat_1,body language; explain
YouKnowWhat_5,animations/Stand/Gestures/YouKnowWhat_5,body language; explain
You_1,animations/Stand/Gestures/You_1,indicate; show; you; your
You_4,animations/Stand/Gestures/You_4,indicate; show; you; your